sample_size sample_mean 
10 71.87962647856693 
10 61.260176299937164 
10 101.92205996359459 
10 57.22208270906892 
10 69.98462467075305 
10 71.60767381868136 
10 83.37276026859783 
10 76.09652331403352 
10 64.77683567612397 
10 68.33608860643048 
10 79.84959849654923 
10 80.55281461545526 
10 81.50303287881357 
10 54.18380667634068 
10 74.18643803930368 
10 78.83212368103023 
10 82.91017691178561 
10 59.09968075428488 
10 69.67592154448151 
10 83.16273995019232 
10 65.31539945310024 
10 76.52710531900678 
10 71.0204304055568 
10 68.00091224848347 
10 66.93598899317416 
10 52.22175758841111 
10 71.51135416816922 
10 58.39864943955727 
10 81.2890369017391 
10 65.9130775997995 
10 69.93257620442222 
10 70.38262952879795 
10 65.6520605698266 
10 74.5721063606278 
10 80.18764153363192 
10 72.49663053533558 
10 62.544096438812346 
10 85.35698161955435 
10 80.59705685203377 
10 68.99752766135602 
10 75.89192799197956 
10 64.70434243179615 
10 68.01090251729435 
10 47.13158665991715 
10 67.35412250561328 
10 87.48517624713276 
10 86.68875180071714 
10 68.64636889149098 
10 86.07529100357132 
10 66.49868157135975 
10 64.919976190499 
10 62.27236281161167 
10 96.08482263202079 
10 70.0175606872453 
10 63.032196079622395 
10 82.3994395440715 
10 49.99536430433846 
10 76.2035297194972 
10 60.514953653935414 
10 79.85911538617131 
10 40.53618208739688 
10 67.6640445388729 
10 84.24955727566841 
10 64.76635150293957 
10 75.8008172109976 
10 63.65016379978722 
10 54.54635068213421 
10 85.29625201547867 
10 77.92063701608444 
10 67.30555427933464 
10 85.44713066415892 
10 61.823132990681565 
10 66.7102134143162 
10 69.16594393905137 
10 80.82125893578582 
10 73.87143517106375 
10 63.604163886573076 
10 81.9921706238496 
10 80.76361912557444 
10 78.4565542005254 
10 69.02469832080992 
10 60.100567406498975 
10 76.10847121156277 
10 62.474286149891135 
10 67.64345357478778 
10 73.83843066948852 
10 96.26049094935901 
10 59.0013403267554 
10 71.48084818389087 
10 66.65621547203484 
10 76.82992229241049 
10 97.11497891255351 
10 63.310329701018404 
10 60.599988681752244 
10 62.531466767466426 
10 76.03718720285194 
10 62.211026785298884 
10 90.69683664067784 
10 97.59693911137059 
10 63.567335364462544 
10 71.45471853878954 
10 94.43092013043253 
10 82.61163358887605 
10 49.26445993360065 
10 75.85069223069937 
10 76.47257294876087 
10 82.05254399666266 
10 71.00520286134963 
10 66.14606363188116 
10 66.15795942048652 
100 71.0289036588584 
100 71.6838664527744 
100 70.19583901990832 
100 74.98481560181702 
100 76.14024161112351 
100 66.02949924238787 
100 67.09241520175689 
100 71.19735515560825 
100 70.73251150882807 
100 71.72944523595461 
100 65.77487216059686 
100 75.2662679427591 
100 70.01603397854933 
100 69.66326769382324 
100 67.4732733259128 
100 73.3291862368132 
100 77.24059081409035 
100 66.9141164176894 
100 77.57424118058309 
100 72.67816573862262 
100 67.11599619360993 
100 76.91680722504252 
100 71.38966584425916 
100 65.8799815209199 
100 68.19102403040962 
100 66.33482829111826 
100 70.79926952023702 
100 73.41800948260257 
100 77.43320792384723 
100 77.62464693112615 
100 78.46459262209832 
100 65.9300673178113 
100 73.77133911807994 
100 74.32776235482648 
100 70.13797144279143 
100 65.72346718463348 
100 72.38626701042112 
100 68.66222480665772 
100 76.67669848174168 
100 76.1830989811222 
100 73.36164848469822 
100 74.40842039669798 
100 74.05105108595703 
100 71.43069326194956 
100 71.15275503201242 
100 69.09461893641439 
100 79.92235645733732 
100 70.49738825711933 
100 73.99631469304484 
100 70.18941402489735 
100 69.01410558131936 
100 69.56733355736667 
100 67.58386834479141 
100 67.54325019493619 
100 66.15468551457086 
100 73.51727438848246 
100 75.09917082557637 
100 67.34010248490016 
100 68.59074984263685 
100 67.68409327788805 
100 68.39024778293845 
100 73.44034389904182 
100 67.88775849235535 
100 72.45604266146202 
100 76.93351726689801 
100 71.69970295281027 
100 74.17570088662765 
100 80.62927141283295 
100 65.46496980559711 
100 72.66727775969149 
100 73.89222936717155 
100 72.55301918760905 
100 68.7312332599075 
100 73.91240316954382 
100 72.04415481985248 
100 72.66210283612921 
100 72.40950495249913 
100 71.37016171065295 
100 67.99303239284055 
100 66.36333554873526 
100 68.9436833285899 
100 68.77986302098051 
100 65.45392755701475 
100 69.86293052881483 
100 75.82578190894861 
100 75.17647317258873 
100 77.60003478767784 
100 71.06644214771413 
100 78.1134651278649 
100 65.16721196868427 
100 68.8760174555756 
100 68.81733593827613 
100 82.93637495221883 
100 75.46287028385227 
100 71.31288770392689 
100 66.11971206052566 
100 74.9271132724666 
100 77.85984835488614 
100 69.20484408526134 
100 72.84350427704213 
100 72.70542896083133 
100 72.62502260260491 
100 71.4958040360942 
100 74.38324373482571 
100 72.0894713898382 
100 68.72881175666845 
100 73.76956382949813 
100 72.25519470474697 
100 74.56656939206464 
100 68.98045394750162 
250 69.26769284515812 
250 71.73727554197286 
250 73.0437584807583 
250 76.76857349213292 
250 71.39237409794097 
250 68.26216984932643 
250 70.31785283823326 
250 69.0803609850648 
250 69.52870439451793 
250 71.04722585536061 
250 70.49192797361339 
250 68.3033491325106 
250 68.69558913344358 
250 73.37521707580622 
250 72.60706490238464 
250 72.14301555465248 
250 69.64848816304988 
250 71.69601791777241 
250 73.80734069702676 
250 69.52768208371788 
250 68.397224113032 
250 72.96177311532674 
250 72.1506944406701 
250 70.55923047277523 
250 74.73806944801682 
250 69.87700322203374 
250 69.01573479228055 
250 73.629925655216 
250 73.46014364263269 
250 70.4733107933598 
250 73.51825673350014 
250 69.82239813284278 
250 70.77242246555035 
250 70.31953421375093 
250 76.4370594965488 
250 72.99140358540622 
250 72.40961545826082 
250 72.59213390960717 
250 71.02660368955038 
250 71.8718472821713 
250 71.7639795983147 
250 72.34521102880238 
250 71.42181184258969 
250 76.47245105280514 
250 74.52902719591344 
250 73.52268672355322 
250 70.07741686206029 
250 69.75793583072266 
250 72.86894956761392 
250 70.11995141847291 
250 70.35878177697515 
250 70.71117820154112 
250 70.54372907554806 
250 68.82377909540244 
250 66.80215181195985 
250 73.54622445871249 
250 72.6738953732174 
250 71.30479433954672 
250 73.81973579775942 
250 72.1919046682188 
250 71.69353427333805 
250 71.96034103356924 
250 73.12804277333521 
250 70.14311308233718 
250 69.27726825378284 
250 71.43352961196335 
250 70.58540092419202 
250 69.45761565733203 
250 76.98330215077675 
250 73.2670409524936 
250 72.60867039996143 
250 71.06964963271494 
250 70.21842301879406 
250 72.84933829401044 
250 67.68648196226461 
250 72.79838524604423 
250 75.79194617778725 
